Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Camera focus at specified point,2.3+[268],Yes[59],?,1.0.4+[269],Yes
Camera exposure metering from specified point,"No,[270] available on some phones.[271][272]",Yes[273],No,?,No
On device picture info (including Exif data),Only date and location; more with 3rd party software[274],Only date and location; more with 3rd party software[275],No,?,Yes
On device picture categorization,No[276] 3rd party software like TouchWiz[277],5+[278],No,?,No
On device picture description and search,No[279],10+: Items/objects in picture;[280] 7+: Only date and location[281],No,?,No
Turn off shutter sound,In silent mode[282],In silent mode[283],In silent mode,In silent mode[284],No
Picture crop,Yes,5+[285],No,Yes,Yes
Photo rotation,Yes,5+[285],No,Yes,Yes
Photo red-eye reduction,2.3+[286],5+[285],No,No[287],No
HDR photos option,"4.2+, some manufacturers earlier[288]",Yes[289],No,No[290],Yes
Photo/video import from memory cards,Yes,With Camera Connection Kit[265],Yes,Yes,Yes
Video trim,2.3+,Yes,No,?,No
