Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
"Cut, copy, and paste",Yes[92],3+[93],Yes[94],Yes,Yes
Multi-Device clipboard,No,10+[95],No,No,No
Undo,No[96],3+[97],No,No[98],Yes
Custom home and lock screen wallpaper,Yes,4+[59],Yes,Yes (incl. Ambience),Yes
Desktop sync,"No,[99] but available using the vendor's companion/PC suite application such as Samsung Smart Switch & HTC Sense[100]",Yes,Yes,?,Yes
Local full backup,"Yes, via external computer[101]","Yes, using external computer or iCloud[102]",No[103],Yes,Yes
Core data missing sync,"Bookmarks[104] (before 4), SMSs and Settings[105]",,?,?,?
Notification center,Yes,5+[106],2+[107],Yes,Yes
Push notifications,Yes[108],Yes (Apple Push Notification Service),2+[109],Yes,Yes
Screenshot,"4+ also available on earlier versions with customized firmware, such as Cyanogen Mod and on older Samsung Galaxy smartphones[110]",Yes[59][111],Yes,2.0.2+[112],Yes
iCalendar import,"No,[113] but 3rd party app available[114]",Yes[115],?,1.1.6+[116],No
Text/document support (read only; creating using third party apps),"Microsoft Office, PDF, TXT/RTF","Microsoft Office,[117][118][119] iWork, PDF, Images, TXT/RTF, VCF","Read only: text files, PDF, HTML, Multiple office formats","Microsoft Office, OpenDocument, PDF, Text",Yes
Printer support,4.4+ using Google Cloud Print[120] but not over USB unless proprietary vendor solutions such as HP Print Service are used[121],Yes (AirPrint)[122],No,"yes, cups package is available",Beta
Show remembered Wi-Fi connections,Yes,"No, 3rd party software on jailbroken devices[123]",?,Yes,Yes
