Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Separate volume for ringtone and media,Yes,Yes,?,Yes,Yes
Voice commands,Yes[368],5+ (Siri),?,"3rd party software, such as Saera[369]",No
Offline voice commands,6+[370],Yes[371],?,No,No
Voice recognition,Yes,5+ (Siri),?,No,No
Offline voice recognition,4.1+[372],"Limited, only calling and music playback[373]",No,No,No
Non-English voice recognition,Yes,Yes[204],?,No,No
Sound recorder,Very limited (Doesn't work in background[374] and not voice controlled),3+: Limited (Not voice controlled)[375][376],Partial,3rd party software[377],3rd party software
Call recorder,"Prevented by OS restrictions,[378] but possible with 3rd party firmware[379]",3rd party software[380],No,"Disabled by default, must be interactively switched on during a call when enabled / 3rd party software[381]",?
Sound trim,"No,[382] but 3rd party software available[383]",Yes[384],?,?,?
