Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Multitasking,Yes,7+;[291] 4–6: Limited[292],2+[109],Yes,Yes
Quick app switching,7+[293],9+: via 3D Touch;[294] 5+: only on iPad[295],No,No,Yes
Document-centric multitasking,5+[296],13+: can open different views of same app side by side[297],No,No,No
Split-screen app usage,"7+, some manufacturers earlier[298]",9+: only on iPad with 2 GB RAM or more[299],Yes[300],No [301],Tablet-only
Desktop interactive widgets,Yes,10+: App icons via 3D Touch and/or dedicated widget screen[302],No,Yes,No
Lock screen widgets,Yes (Notifications and settings). Full Widgets on Android 4.2–4.4 only.[303][304],"Media player, voicemail, camera;[305] 5+: Notifications; 7+: Control Center 8+: Interactive Notifications[306] 10+: Full widgets[302]","Media player; Notifications (SMS, call)",Yes,No
Notification view widgets,4.1+: Google Now and possible with 3rd party apps,8+,No,Yes,No
Quick settings toggles,2+[307],7+[308],No,Via the Patchmanager app[309],Yes
Search multiple internal apps at once,Yes,Yes,Yes,No[310],Yes
Settings search,5+ or 3rd party software like LineageOS[311],9+[312],No,No,Yes
Search all fields of internal objects,Only search Contacts name field but not any other field[313],6+[314],Only searches contacts by name,"First name, last name, nickname, also the multiple field called "Details"[315]|?",
Core apps missing search,Calendar[316] (available since 3+ and HTC Sense),Bookmarks[317],?,?,?
Phone number links to dialer,"Available in stock Android, but not all devices enable it.[318]",Yes,"Yes, but not in browser",Yes,Yes
Addresses links to maps,"In Contacts, but not in Calendar[319] nor in Gmail[320]",Yes[321],?,Yes,?
Dates links to calendar,No,Yes[322],Yes,Yes,?
