Country,Uncrewed rendezvous,,crewed rendezvous,
,Spacecraft involved,Year,Spacecraft involved,Year
Japan,ETS-VII,1997,,
China,Shenzhou 8 & Tiangong 1,2011,Shenzhou 9 & Tiangong 1,2012
India,SPADEX,2020 (Planned),,
